Idx,Value
0,0.11791730750889032
1,0.04985267779994142
2,-0.013055671589536187
3,-0.07332478221156488
4,-0.12388123146847178
5,-0.17421986943214535
6,-0.21610350563039332
7,-0.25229323991476565
8,-0.28804098384524657
9,-0.316591453979838
10,-0.3404671676107286
11,-0.36869232515798406
12,-0.3894466218334091
13,-0.40837966729213243
14,-0.4209091870999032
15,-0.43762436945583383
16,-0.44883052121175615
17,-0.4556425623089869
18,-0.44386384243814914
19,-0.412976756584092
20,-0.3647983536238905
21,-0.3048745178565174
22,-0.2398973208657148
23,-0.1769906159443387
24,-0.12023497443937443
25,-0.0715539743542648
26,-0.032064097788305976
27,-0.0004845336767583654
28,0.02342585116550078
29,0.039768863446211514
30,0.05079452531298861
31,0.05666644109939934
32,0.05905410457207876
33,0.057663055368382406
34,0.054149772316397365
35,0.05134108190783258
36,0.05355915410917924
37,0.06419206247963971
38,0.08456585998657339
39,0.11278429702480686
40,0.14341404800010496
41,0.16898176528178507
42,0.1834030513539328
43,0.18442859127727246
44,0.17329823941071118
45,0.15281221307450746
46,0.1264810467165713
47,0.09725040403888363
48,0.06745150517604132
49,0.03877393567342953
50,0.01258006174660827
51,-0.010204624233960917
52,-0.02946188164843108
53,-0.0465446496172115
54,-0.06416283888857063
55,-0.08557840274092135
56,-0.11325470736287309
57,-0.14747580715926736
58,-0.1860203784728355
59,-0.2253561174659024
60,-0.26210689412775096
61,-0.29371162770248327
62,-0.3183379208741278
63,-0.33468553728059464
64,-0.341927629144138
65,-0.3396735149445777
66,-0.32810576815289594
67,-0.30802212744191354
68,-0.2808728295504243
69,-0.2484732815614674
70,-0.21249338476953183
71,-0.17390831424495826
72,-0.13285892468044502
73,-0.08916121215815029
74,-0.043418883124081833
75,0.0021353424623807063
76,0.044228633926412055
77,0.08014040646428326
78,0.10871214125184545
79,0.1302989734541103
80,0.1462614191425128
81,0.1584711968424271
82,0.16894661729269614
83,0.1795647712975384
84,0.19179582337872164
85,0.20644655996369846
86,0.22344843109751578
87,0.24176041076818322
88,0.25941043056795654
89,0.27359492834340515
90,0.2807799416819425
91,0.277093770089847
92,0.25956172698297
93,0.22774520244578061
94,0.18407761958288807
95,0.1325312331559416
96,0.07707701451738296
97,0.020862233232815296
98,-0.03400293042518372
99,-0.0863667868138261
100,-0.1358408273439737
101,-0.18254748989971928
102,-0.22684051314006498
103,-0.26904022506868797
104,-0.3092490537629139
105,-0.34729535965498115
106,-0.3827876508646889
107,-0.4151976440716835
108,-0.4438896470630944
109,-0.46806490701246717
110,-0.4866345654302325
111,-0.498048194370108
112,-0.5001489642607163
113,-0.49026416113712085
114,-0.4658656463045892
115,-0.425905810091451
116,-0.3721423425378005
117,-0.30924259606185683
118,-0.24336477478494742
119,-0.18029726566753698
120,-0.12428999560448373
121,-0.07779734751769589
122,-0.041764868139076775
123,-0.016075971856806606
124,5.0168075065404615e-05
125,0.007785106377904158
126,0.008550778301323383
127,0.00399241398818485
128,-0.003965134399902205
129,-0.01301611616547714
130,-0.02040048617245902
131,-0.02299742581301637
132,-0.01774776845866568
133,-0.0024349784356650934
134,0.023333502940668965
135,0.057142537695701545
136,0.09332461312906203
137,0.12437487642682
138,0.14438434413405088
139,0.151584130596327
140,0.1478799649395587
141,0.13687438137644298
142,0.12232812283760755
143,0.10744846045649137
144,0.09464523153607353
145,0.08543655526313997
146,0.08037175450634208
147,0.07896612960700211
148,0.07969541009968611
149,0.08007524014969859
150,0.07681993912097905
151,0.06621891611658941
152,0.045155935493823456
153,0.01282633924448965
154,-0.02825908554858175
155,-0.07342061109064495
156,-0.11794771561912819
157,-0.1583339565484095
158,-0.19245805257247076
159,-0.21938392537000073
160,-0.23915151419131706
161,-0.2525965666939456
162,-0.26113249336571687
163,-0.2664521360384933
164,-0.27016575130281095
165,-0.2734321072658203
166,-0.2766473124766788
167,-0.2792256916272297
168,-0.27946042071098265
169,-0.2744929747019743
170,-0.2606697197183055
171,-0.23481230400260023
172,-0.19630577481503428
173,-0.14827564160412054
174,-0.09621057629322124
175,-0.04525797092137686
176,0.001408518599234507
177,0.04261602870364289
178,0.07847550697500748
179,0.10965822178511214
180,0.13692190256845885
181,0.16088653599253586
182,0.18198696374373557
183,0.20052889364224996
184,0.216797869638466
185,0.23119375920110163
186,0.24436119554694774
187,0.25722590809636986
188,0.27071365342382414
189,0.2848714484488459
190,0.29758293977472317
191,0.30419220112059653
192,0.2994283862260172
193,0.2803339549120698
194,0.2472623448844061
195,0.20272864968213183
